id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5688573,Luxury Apartment by Battersea Park,15381922,Alison,,Wandsworth,51.47361680095967,-0.15627505081505982,Entire home/apt,160,3,0,,,1,322
5118821,"Super double room, Victorian house",26454601,Sophie,,Wandsworth,51.46517737956273,-0.15295736453762668,Private room,55,1,0,,,1,364
5703961,Stunning Family House Hackney E8,29572506,Gala,,Hackney,51.54178013702815,-0.05619763529630035,Entire home/apt,220,5,0,,,1,359
4139545,DOUBLE ROOM IN THE HEART OF HACKNEY,19404920,Mara,,Hackney,51.54635663736812,-0.039234933670670234,Private room,39,1,1,2014-10-20,0.2,1,174
313870,Chic spacious Islington maisonette ,1464918,Tanya,,Islington,51.54647053215353,-0.10364607381941475,Entire home/apt,185,5,7,2014-12-27,0.2,1,13
4714062,East London pub conversion ,474461,Andrew,,Islington,51.55124147084556,-0.08137997004040748,Private room,40,3,1,2014-12-17,0.3,1,101
895567,New Apartment Hotel - Apartment #6,4668656,Safia,,Lewisham,51.448510308809105,-0.0011471244859831056,Entire home/apt,139,2,2,2013-03-04,0.1,7,365
5010435,Spacious Earls Court Maisonette,10961046,Alice,,Kensington and Chelsea,51.49233498442966,-0.1914569666495267,Entire home/apt,180,5,0,,,97,309
433867,Bedroom In Great Location Stratford,1799991,Jonathan,,Newham,51.54651388454688,0.0065074443507164,Private room,60,1,6,2014-07-22,0.3,1,365
4813924,Great modern room ,12921846,Alix,,Greenwich,51.482245742014115,-0.021377759312680343,Private room,32,1,1,2014-12-16,0.3,1,97
813437,Spacious & bright studio by Thames,4273404,Kristin,,Southwark,51.499867370285656,-0.055419618339894165,Entire home/apt,120,2,21,2015-03-16,1.4,2,306
2077504,Double room in Marylebone,10271568,Marco,,Westminster,51.523623796310105,-0.16692994168813247,Private room,100,1,0,,,1,365
5635955,Loft style apartment near West End,29028222,Nick,,Islington,51.56113744662579,-0.10448806940942539,Entire home/apt,92,1,0,,,1,365
2754047,"Modern Apartment, 8 mins from City",14086610,Thomas,,Lewisham,51.46307394317073,-0.015675314544928407,Private room,95,1,2,2014-11-15,0.3,1,248
1116249,Double room (women or couples only),2288269,Jo,,Wandsworth,51.440598733927125,-0.1976887987096956,Private room,60,1,31,2015-02-26,1.3,2,332
3541165,Large 3rd floor studio apartment ,15816781,Anveer,,Tower Hamlets,51.51449552468196,-0.06318793292666876,Entire home/apt,85,2,3,2015-01-08,0.5,20,358
877864,Bright guest room in gay household,4638873,Gregory,,Hackney,51.565005133500286,-0.10007973392809916,Private room,45,1,114,2015-03-19,4.9,1,154
2932343,Sole use flat - close to cntral LON,13582603,Richard,,Lewisham,51.437535115676816,-0.012156211523907823,Entire home/apt,70,1,0,,,1,365
5636442,One Stop to London Bridge (BX),1451718,Sidney,,Lewisham,51.47215551302716,-0.03187990446408927,Private room,30,1,0,,,48,290
5468995,One Stop to Centre (PTX),1451718,Sidney,,Lewisham,51.47354297216217,-0.028629889646258618,Private room,35,1,0,,,48,311
5389133,Sunny room in Victorian house,5841641,Sarah,,Lewisham,51.46710115206203,-0.026602030719036253,Private room,20,1,0,,,1,41
1477750,Cozy flat in Chelsea Harbour/Fulham,7908440,Fabien,,Hammersmith and Fulham,51.47241276858784,-0.18741824975399918,Shared room,60,2,1,2013-09-27,0.1,1,64
637560,London Edwardian Apartment - Ealing,1790951,Bert,,Ealing,51.50829460791614,-0.2852397576652643,Entire home/apt,240,3,11,2015-01-06,0.5,5,312
751469,Unique Stylish Loft near Chelsea,3921842,Elizabeth,,Wandsworth,51.47186037411474,-0.17448444151581705,Entire home/apt,128,3,70,2015-04-02,2.4,1,254
425535,Big sunny double in a great house,1151374,Ken,,Lambeth,51.464864591297435,-0.0980486391031205,Private room,45,2,27,2014-10-06,0.8,2,355
952678,Double en-suite in Hackney B&B,5013460,Annette,,Hackney,51.55682761409799,-0.04536775713039318,Private room,100,1,0,,,2,360
664712,Sir Windsor-2bedrooms in Kensington,2635161,Pavel,,Hammersmith and Fulham,51.500629480493814,-0.21418423822672586,Entire home/apt,218,3,1,2013-04-10,0.0,31,308
559848,Penthouse room and terrace N1 2ul,2752243,Bel Richard And Aphra,,Islington,51.54362214595761,-0.10305561279749667,Private room,230,2,0,,,1,365
5771340,HUGE ROOM IN THE HEART OF HACKNEY,29940712,Sophie,,Hackney,51.54435402725576,-0.04000509879840217,Private room,40,1,0,,,1,33
5266722,"Studio, Fulham/Chelsea with parking",13413787,Vladimir,,Hammersmith and Fulham,51.48246932131178,-0.19273698003436346,Entire home/apt,65,1,0,,,1,342
4845499,The North London Lodge,24932170,Godfred/Pat,,Haringey,51.60274387167571,-0.07070356964265302,Private room,35,1,1,2015-03-22,1,1,365
5241134,One Lovely Double Room in Surbiton,27124267,Anja,,Kingston upon Thames,51.3937927082931,-0.30351095461885536,Shared room,39,1,0,,,1,37
4011657,Luxury Apartment with Amazing View,17014014,Oliver,,Croydon,51.37312605453832,-0.09257461529298482,Entire home/apt,80,2,4,2015-02-07,0.6,1,365
4644465,Rooms in a Beautiful Family House,24045638,Maria,,Harrow,51.56308081139668,-0.353339832183706,Private room,35,1,1,2015-03-30,1,1,317
2476307,Beautiful one bed  penthouse ,12534689,Pietro,,Camden,51.52290517704105,-0.13794043524700283,Entire home/apt,131,1,28,2015-03-30,2.3,1,141
